Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Max Torque/Speed (N·m/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Measured Average Fuel Consumption (L/100km),Range (km),Warranty,Available Colors
胜利 Kingpin Tour,,Victory,Cruising Crown Prince,Imported,,dual cylinder four stroke oil cooled  1634cc,,,,-,-,-,,640,,17,,-,,-,,
胜利 Kingpin 8-Ball,,Victory,Cruising Crown Prince,Imported,,", 1507cc",,,,-,-,-,,673,,17,,-,,-,,
胜利 Touring Cruiser,,Victory,Cruising Crown Prince,Imported,,dual cylinder four stroke oil cooled  1634cc,,,,-,-,-,,673,,17,,-,,-,,
胜利 V92C Cruiser,,Victory,Cruising Crown Prince,Imported,,", 1507cc",,,,-,-,-,,673,,17,,-,,-,,
胜利 V92SC Sport Cruiser,,Victory,,,,", 1507cc",,,,-,-,-,,,,19,,-,,-,,
胜利 Vegas,,Victory,,,,", 1507cc",,,,-,-,-,,,,19,,-,,-,,
胜利 Vegas Ness Limited,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,640,,17,,-,,-,,
胜利 Vegas Limited Edition,,Victory,Cruising Crown Prince,Imported,,", 1507cc",,,,-,-,-,,,,17,,-,,-,,
胜利 Vegas Zach Ness,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,640,,17,,-,,-,,
胜利 Vegas Jackpot,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,640,,17,,-,,-,,
胜利 Vegas Low,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,653,,17,,-,,-,,
胜利 Vision 8-Ball,,Victory,Cruising Crown Prince,Imported,,dual cylinder four stroke oil cooled  1634cc,,,,-,-,-,,640,,17,,-,,-,,
胜利 Vision Street,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,673,,22.7,,-,,-,,
胜利 Vision Street Premium,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,673,,22.7,,-,,-,,
胜利 Vision Street Special Edition,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,673,,22.7,,-,,-,,
胜利 Vision Tour Premium,,Victory,Cruising Crown Prince,Imported,,with 1731cc,,,,-,-,-,,673,,22.7,,-,,-,,
大狗 Boxer,,Victory,,,,with 1731cc,,,,-,-,-,,673,,22.7,,-,,-,,
大狗 Bulldog Bagger,,Big,Cruising Crown Prince,Imported,,with 1750cc,,,,-,-,-,,660,,16.3,,-,,-,,
大狗 K9,,Big,Cruising Crown Prince,Imported,,"air-cooled, 1819cc",,,,-,-,-,,635,365,17,,-,,-,,
大狗 Mastiff,,Big,Cruising Crown Prince,Imported,,four stroke air-cooled  1916cc,,,,-,-,-,,622,,16.7,,-,,-,,
大狗 Mutt,,Big,Cruising Crown Prince,Imported,,four stroke air-cooled  1916cc,,,,-,-,-,,,,17.4,,-,,-,,
大狗 Pitbull,,Big,Cruising Crown Prince,Imported,,four stroke air-cooled  1916cc,,,,-,-,-,,,,14.4,,-,,-,,
大狗 Ridgeback,,Big,Cruising Crown Prince,Imported,,four stroke air-cooled  1916cc,,,,-,-,-,,,,17.4,,-,,-,,
大狗 Wolf,,Big,Cruising Crown Prince,Imported,,four stroke air-cooled  1916cc,,,,-,-,-,,622,,14.4,,-,,-,,
大狗 Working Man's Special,,Big,Cruising Crown Prince,Imported,,V-type twin cylinder four stroke air-cooled  1980cc,,,,-,-,-,,,,17,,-,,-,,
火岩兽 速250,,Big,Cruising Crown Prince,Imported,,four stroke air-cooled  1349cc,,,,-,-,-,,610,,8.5,,-,,-,,
航爵 GT 150,15800,Huoyan,", sports car,",,Chongqing New Sensation Motorcycle Company,single cylinder four stroke air-cooled  250cc,16.7,12.3/8000,,international 6-speed,,standard,1920x750x1075,,137,14,125,-,,-,of,
航爵 Vista 150,12800,Hangjue,pedal,,,single cylinder four stroke water-cooled  150cc,15.0,11/8500,,CVT continuously variable transmission automatic transmission,standard,without,2055x770x1340,680,155,7.5,110,2.6,,230,,
重庆 雅格,7880,Hangjue,pedal,,,single cylinder four stroke air-cooled  150cc,8.2,6/7500,,CVT continuously variable transmission automatic transmission,none,without,1895x650x1125,780,128,6,85,2.6,,-,,"cement gray, green, red, blue, white, black"
滨崎 酷奇,6980,Chongqing,pedal,,Chongqing Construction Electromechanical Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,none,-,1850x680x1060,720,90,0,80,-,,-,,"yellow, blue, frosted gray, matte white, red"
滨崎 酷狗,6780,Hamasaki,pedal,,Zhejiang Jinye Motor Vehicle Industry Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/7500,,CVT continuously variable transmission automatic transmission,-,-,1880x710x1140,,104,9,,-,,-,,"Zhenlong White, Bingo Silver, Bay Blue, Gadi Green, Extreme Wind Grey"
滨崎 锐鹰UA,6680,Hamasaki,pedal,,Zhejiang Jinye Motor Vehicle Industry Co.,single cylinder four stroke air-cooled  125cc,9.2,6.8/7500,,CVT continuously variable transmission automatic transmission,-,-,1860x690x1115,750,,8.7,,-,,-,,"Warm White, Khaki Grey, Orange"
光速 A Plus 400,5980,Hamasaki,pedal,,Zhejiang Jinye Motor Vehicle Industry Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/7500,,CVT continuously variable transmission automatic transmission,,-,1830x720x1115,750,111,4.2,80,2.2,,-,,
光速 ES 150 R,36800,Lightspeed,pedal,,Chinese manufacturer Qingqi Group Jiangmen Lightspeed Motorcycle Co.,single cylinder four stroke water-cooled  400cc,30.7,22.6/6500,,CVT continuously variable transmission automatic transmission,standard,-,2248x800x1308,800,181,13.5,130,-,,-,,
之威 天戈,Currently no quotation available,Lightspeed,pedal,,,single cylinder four stroke air-cooled  150cc,,,,,,-,,,,7,,-,,-,,
之威 梦威拉,8280,Power,pedal,,Taizhou Jiaojiang Zhiwei Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/7500,,CVT continuously variable transmission automatic transmission,standard,-,1900x700x1100,750,110,8.5,95,-,,-,of,
之威 ZW110T-3C,8280,Power,pedal,,Taizhou Jiaojiang Zhiwei Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/7500,,CVT continuously variable transmission automatic transmission,none,without,1823x704x1126,,100,8.5,80,-,,-,,"Mars Grey/Yellow, Bay Blue, Glacier White, Apple Green, Dream Green, Jade Brown"
之威 ZW110T-4C,,Zhiwei,pedal,,Taizhou Jiaojiang Zhiwei Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  110cc,6.4,4.7/,,CVT continuously variable transmission automatic transmission,-,-,1800x680x1115,,95,0,72,-,,-,,
之威 ZW110T-5C,,Zhiwei,pedal,,Taizhou Jiaojiang Zhiwei Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  110cc,6.4,4.7/,,CVT continuously variable transmission automatic transmission,-,-,1755x680x1065,,90,0,72,-,,-,,
之威 ZW110T-6C,,Zhiwei,pedal,,Taizhou Jiaojiang Zhiwei Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  110cc,6.4,4.7/,,CVT continuously variable transmission automatic transmission,-,-,1865x680x1130,,95,0,72,-,,-,,
之威 ZW110T-C,,Zhiwei,pedal,,Taizhou Jiaojiang Zhiwei Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  110cc,6.4,4.7/,,CVT continuously variable transmission automatic transmission,-,-,1750x700x1062,,95,0,72,-,,-,,
之威 ZW125T-4C,,Zhiwei,pedal,,Taizhou Jiaojiang Zhiwei Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  110cc,6.4,4.7/,,CVT continuously variable transmission automatic transmission,-,-,1802x685x1095,,93,0,72,-,,-,,
之威 ZW125T-6C,,Zhiwei,pedal,,Taizhou Jiaojiang Zhiwei Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,-,1880x665x1140,,115,0,80,-,,-,,
之威 ZW125T-11C,,Zhiwei,pedal,,Taizhou Jiaojiang Zhiwei Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,-,1865x705x1090,,99,0,80,-,,-,,
之威 ZW125T-12C,,Zhiwei,pedal,,Taizhou Jiaojiang Zhiwei Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,-,1820x660x1052,,93,0,80,-,,-,,
之威 ZW125T-14C,,Zhiwei,pedal,,Taizhou Jiaojiang Zhiwei Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,-,1815x680x1120,,99,0,80,-,,-,,
之威 ZW125T-15C,,Zhiwei,pedal,,Taizhou Jiaojiang Zhiwei Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,-,1850x670x1105,,98,0,80,-,,-,,
之威 ZW125T-22C,,Zhiwei,pedal,,Taizhou Jiaojiang Zhiwei Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,-,-,1897x685x1075,,97,0,80,-,,-,,
克尔维特 兰博300,,Zhiwei,pedal,,Taizhou Jiaojiang Zhiwei Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,7.1,5.2/,,CVT continuously variable transmission automatic transmission,,-,1850x670x1150,,96,0,80,-,,-,,
深远 T90,15999,Corvette,", street car,",,,single cylinder four stroke water-cooled  279cc,25.2,18.5/8500,,international 6-speed,standard,-,2000x730x1030,810,124,0,,-,,-,,
深远 公牛,5149,far,pedal,,,,0.5,0.4/,,,-,standard,1700x725x1020,760,54.2,,25,,,120,,"dark green, gemstone blue"
深远 靓影,,far,pedal,,,,,,,,-,standard,,,,,,,,-,,"Tech Grey, Pearl White, Mercedes Black"
深远 GM01,,far,pedal,,,,,,,,-,-,,,,,,,,-,,"pepper white, light green/dark green, pearl white, fairy pink, star diamond gray"
深远 n1,,far,pedal,,,,,,,,-,-,,,,,,,,-,,"blush powder, fresh green, thousand island brown, metallic titanium gray, dazzling white"
深远 N3,,far,pedal,,,,,,,,-,standard,,,,,,,,-,,
深远 竞速S1,,far,pedal,,,,,,,,-,-,,,,,,,,-,,"Piano Black, Tech Grey, Pearl White, Aurora Green"
深远 T300,,far,pedal,,,,,,,,-,standard,,,,,,,,-,,"Piano Black/Fluorescent Green, Abyssal Green/Fluorescent Green, Starlight White/Fluorescent Green, True Illusion Star Cloud Grey/Fluorescent Green, Colorful Glacier Blue/Fluorescent Green"
深远 Z11,,far,pedal,,,,,,,,-,standard,,,,,,,,-,,
宏佳腾 3D-350R,,far,pedal,,,-,,,,-,,standard,,,,0,,-,,-,,"Mercedes Black, Polestar Green, Pearl White, Tech Grey, Bentley Blue"
宏佳腾 Coin 125,68800,Hongjiateng,Three Wheel,Domestic,Chinese manufacturer Zongshen Biaqiao Foshan Motorcycle Enterprise Co.,single cylinder four stroke water-cooled  350cc,29.0,21.3/7000,,CVT continuously variable transmission automatic transmission,none,standard,2150x840x1340,790,,13.5,,-,,-,,
宏佳腾 Dory 115,Currently no quotation available,Hongjiateng,pedal,,,single cylinder four stroke air-cooled  125cc,,,,-,None,-,1657x674x1074,,,5.5,,-,,-,,
宏佳腾 ES 150 R,Currently no quotation available,Hongjiateng,pedal,,,single cylinder four stroke air-cooled  115cc,,,,-,None,-,1720x640x1060,,,6,,-,,-,,
宏佳腾 My 150,Currently no quotation available,Hongjiateng,pedal,,,single cylinder four stroke air-cooled  150cc,,,,CVT continuously variable transmission,none,without,1910x730x1080,,,7,,-,,-,,"peacock blue, GP red, matte black"
宏佳腾 OZS150i,Currently no quotation available,Hongjiateng,", street car,",,,single cylinder four stroke  150cc,,,,international 5-speed,,-,1763x783x1033,,,6,,-,,-,,
宏佳腾 Elite 300R,Currently no quotation available,Hongjiateng,pedal,,,single cylinder four stroke air-cooled  150cc,,,,CVT continuously variable transmission automatic transmission,none,without,1880x730x1100,,,7,,-,,-,,
领辰 003,Currently no quotation available,Hongjiateng,pedal,,,single cylinder four stroke water-cooled  300cc,,,,CVT continuously variable transmission,standard,-,2250x850x1380,790,,13.5,,-,,-,,
领辰 006,11800,Lingchen,pedal,,,single cylinder four stroke  150cc,12.9,9.5/8250,,CVT continuously variable transmission automatic transmission,standard,-,1970x725x1160,745,,10,105,-,,-,,
领辰 009,12580,Lingchen,pedal,,,single cylinder four stroke water-cooled  150cc,12.9,9.5/8250,,CVT continuously variable transmission automatic transmission,standard,-,1910x745x1275,780,130,11,105,-,,-,,
零号 Bobber450,,,pedal,,,single cylinder four stroke water-cooled  500cc,38.7,28.5/7250,,CVT continuously variable transmission automatic transmission,standard,-,2160x780x1390,780,178,15,150,-,,-,,
零号 LH110,26920,Zero,Cruising Crown Prince,Domestic,Taizhou Wangpai Car Industry Co.,inline dual cylinder four stroke water-cooled  450cc,36.7,27/8500,,international 6-speed,standard,without,2210x996x1090,710,218,12,140,3.5,,330,,
猎拓 250R,,zero,MINI,Domestic,,single cylinder four stroke air-cooled  110cc,7.6,5.6/7500,,-,,-,1670x690x1270,805,,4.5,,-,,-,,
新本 LX125,18800,Lietuo,", sports car,",,Zhejiang Xinke Locomotive Technology Co.,single cylinder four stroke water-cooled  250cc,26.5,19.5/9000,,international 6-speed,standard,-,2070x855x1160,780,165,12,,-,,-,,
新本 高尔夫,6980,new,pedal,,Zhejiang Tianying Locomotive Co.,single cylinder four stroke air-cooled  125cc,7.3,5.4/,,CVT continuously variable transmission automatic transmission,-,standard,1825x680x1127,750,103,5.4,,2.2,,240,,"Suzuki Red, New Silver White, Suzuki Dumb Grey, Suzuki Dumb Blue, Suzuki Blue, Pearl White, Dumb Black"
新本 XB125-6D,7680,new,pedal,,Zhejiang Tianying Locomotive Co.,single cylinder four stroke air-cooled  125cc,9.2,6.8/7500,,CVT continuously variable transmission automatic transmission,-,standard,1850x720x1115,750,109,5.9,85,2.2,,-,,"pearl white, frosted green, bay blue, frosted gray, mint green"
新本 XB125-9D,,new,Retro,Domestic,Zhejiang Tianying Locomotive Co.,single cylinder four stroke air-cooled  125cc,9.2,6.8/,,-,-,-,2070x720x1150,,115,0,80,-,,-,,
新本 XB125-D,,new,Retro,Domestic,Zhejiang Tianying Locomotive Co.,single cylinder four stroke air-cooled  125cc,9.2,6.8/,,-,-,-,1970x825x1125,,115,0,80,-,,-,,
新本 XB150-5D,,new,Retro,Domestic,Zhejiang Tianying Locomotive Co.,single cylinder four stroke air-cooled  125cc,9.2,6.8/,,-,-,-,1980x770x1000,,108,0,80,-,,-,,
新本 XB150-6D,,new,Retro,Domestic,Zhejiang Tianying Locomotive Co.,single cylinder four stroke air-cooled  150cc,10.2,7.5/,,-,-,-,2040x770x1090,,115,0,80,-,,-,,
新本 XB110-2D,,new,", street car,",,Zhejiang Tianying Locomotive Co.,single cylinder four stroke air-cooled  150cc,10.2,7.5/,,-,-,-,2030x730x1060,,116,0,80,-,,-,,
虔途 03,,new,bending beam,,Zhejiang Tianying Locomotive Co.,single cylinder four stroke air-cooled  110cc,6.5,4.8/,,cycle 4-speed,,-,1890x690x1080,,93,0,80,-,,-,,
虔途 01,12688,Qiantu,pedal,,,,,,,,standard,-,1863x708x1158,770,115,,86,,,86,,
虔途 02,29688,Qiantu,pedal,,,,19.6,14.4/,,,standard,-,1920x760x1260,780,165,,115,,,140,,"sand, white, blue, green"
三铃 俊朗SL125-20T,39688,Qiantu,Off road,Domestic,,,51.7,38/,,,standard,-,2380x830x1300,860,115,,120,,,100,,
三铃 酷SL150-30,4900,Sanling,", street car,",,,single cylinder four stroke air-cooled  125cc,,,,international gear,none,-,,,,0,,-,,-,,
三铃 街玩SL125GS,6450,Sanling,", street car,",,,single cylinder four stroke air-cooled  149cc,,,,international gear,none,-,1985x805x1085,,126,0,,-,,-,,
三铃 铃木王SL125-23AT,7980,Sanling,pedal,,,single cylinder four stroke air-cooled  124cc,8.57,6.3/,,four speed,none,-,1926x830x1110,,117,5.5,,-,,-,,
三铃 爱神SL350T,8800,Sanling,", street car,",,,single cylinder four stroke air-cooled  125cc,,,,international gear,none,-,2015,,123,0,,-,,-,,
三铃 翼SL150-29 V,36800,Sanling,pedal,,,single cylinder four stroke water-cooled  350cc,24.98,18.375/,,CVT continuously variable transmission,none,-,2206,790,,13.5,,-,,-,,
三铃 领航太子SL125-5BT,5200,Sanling,", street car,",,,single cylinder four stroke air-cooled  149cc,,,,-,None,-,,,,0,,-,,-,,
三铃 喜旺SL150-28A,5800,Sanling,", street car,",,,single cylinder four stroke air-cooled  125cc,,,,-,None,-,1965x835x1100,,115,12,,-,,-,,
三铃 和谐号SL125-T CG,4680,Sanling,", street car,",,,single cylinder four stroke air-cooled  150cc,,,,-,None,-,2010x768x1085,,136,0,,-,,-,,
三铃 五羊SL150-2T,4500,Sanling,", street car,",,,single cylinder four stroke air-cooled  125cc,,,,international gear,none,-,,,,0,,-,,-,,
三铃 钻豹SL125-3T,4800,Sanling,", street car,",,,single cylinder four stroke air-cooled  150cc,,,,-,None,-,1956x790x1080,,121,0,,-,,-,,
三铃 太子SL125-5T,5600,Sanling,", street car,",,,single cylinder four stroke air-cooled  125cc,,,,international gear,none,-,2020,,,0,,-,,-,,
三铃 酷驰SL110-11,5600,Sanling,", street car,",,,single cylinder four stroke air-cooled  125cc,,,,international gear,none,-,1965x835x1100,,115,0,,-,,-,,
三铃 V驰SL110-10,3800,Sanling,bending beam,,,single cylinder four stroke air-cooled  110cc,7.1,5.2/7500,,-,None,-,1888x685x1065,,95,4,,-,,-,,
三铃 罗马阳光SL125T-16A,3800,Sanling,bending beam,,,with a,,,,gear,not,-,1888,,95,4.8,,-,,-,,
三铃 羽钻SL125T-10,Currently no quotation available,Sanling,pedal,,,single cylinder four stroke air-cooled  125cc,,,,-,None,-,,,,0,,-,,-,,
三铃 天王星 SL100T-6,Currently no quotation available,Sanling,pedal,,,single cylinder four stroke air-cooled  125cc,,,,-,None,-,1850x685x1150,,97,0,,-,,-,,
三铃 SL100T-S,Currently no quotation available,Sanling,pedal,,,single cylinder four stroke air-cooled,,,,-,-,-,1820,,,0,,-,,-,,
三铃 SL110-6S,Currently no quotation available,Sanling,pedal,,Pengma Industrial Co.,single cylinder four stroke air-cooled  100cc,5.8,4.3/,,CVT continuously variable transmission automatic transmission,-,-,1805x640x1060,,97,0,80,-,,-,,
三铃 SL110T,Currently no quotation available,Sanling,bending beam,,Pengma Industrial Co.,single cylinder four stroke air-cooled  110cc,7.1,5.2/,,cycle 4-speed,-,-,1885x665x1080,,95,0,80,-,,-,,
三铃 SL125-3S,Currently no quotation available,Sanling,pedal,,Pengma Industrial Co.,single cylinder four stroke air-cooled  110cc,8.2,6/,,CVT continuously variable transmission automatic transmission,-,-,1830x695x1100,,99,0,80,-,,-,,
三铃 SL125-S,Currently no quotation available,Sanling,Retro,Domestic,Pengma Industrial Co.,single cylinder four stroke air-cooled  125cc,10.9,8/,,-,-,-,2030x770x1060,,118,0,90,-,,-,,
三铃 SL125T-12S,Currently no quotation available,Sanling,Retro,Domestic,Pengma Industrial Co.,single cylinder four stroke air-cooled  125cc,11.1,8.2/,,-,-,-,1980x760x1002,,108,0,90,-,,-,,
三铃 SL150-2S,Currently no quotation available,Sanling,pedal,,Pengma Industrial Co.,single cylinder two-stroke air-cooled  125cc,8.2,6/,,CVT continuously variable transmission automatic transmission,-,-,1850x685x1150,,107,0,80,-,,-,,
三铃 SL125-5S,Currently no quotation available,Sanling,Retro,Domestic,Pengma Industrial Co.,single cylinder four stroke air-cooled  150cc,12.0,8.8/,,-,-,-,2040x770x1070,,118,0,90,-,,-,,
倍思客 CL250-F,Currently no quotation available,Sanling,Retro,Domestic,Pengma Industrial Co.,single cylinder four stroke air-cooled  125cc,10.9,8/,,-,,-,1965x835x1100,,115,0,90,-,,-,,
幸福 XF250,19800,Besike,Retro,Domestic,Changling Group Changchun Motorcycle Industry Co.,inline dual cylinder four stroke water-cooled  250cc,25.0,18.4/8000,,international 6-speed,none,standard,2300x780x1115,780,,15,125,-,,500,,"Starlight Black, Turquoise Blue, Pearl Red"
本菱 青云252,,Happiness,Retro,Domestic,,single cylinder two-stroke air-cooled  250cc,9.9,7.3/,,cycle 5-speed,-,-,,,,16,110,-,,-,,
本菱 维也纳,11800,Benling,", street car,",,Shanghai Benling Motorcycle Manufacturing Co.,single cylinder four stroke oil cooled  250cc,17.0,12.5/8000,,international 5-speed,,standard,1890x775x1070,780,138,14,130,2.5,,500,for,"Battle Grey, Fantasy Blue, Peacock Blue, Vitality Orange, Vitality Red"
威科力 Force,8280,Benling,pedal,,Shanghai Benling Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,9.2,6.8/7500,,CVT continuously variable transmission automatic transmission,none,without,1905x680x1145,730,105,12,85,2.2,,500,for,"Morandi Green, Mamba Green, Gulf Oil Edition, Glacier White, Matte Grey, New York Grey"
威科力 Bravo,22000,Weikeli,pedal,,Chinese manufacturer Juneng Motorcycle Technology Co.,,23.8,17.5/,,,standard,-,2095x835x1110,780,160,,125,,,240,,"black, white, gray, blue, red, yellow"
现代 小铃童边三轮,9800,Weikeli,pedal,,Chinese manufacturer Juneng Motorcycle Technology Co.,,,,,,-,-,1780x690x1150,780,85,,55,,,110,,
KAMAX TQ125,16800,Hyundai,Three Wheel,Domestic,Guangdong Dafu Motorcycle Co.,single cylinder four stroke air-cooled  150cc,9.2,6.8/,,international 4-speed,,-,1680x1500x1030,,170,0,,-,,-,,"Goose Yellow, Bay Orange, Military Green, Petroleum Blue"
永源 战隼350,10800,KAMAX,bending beam,,Chongqing Dalong Yufeng Motorcycle Manufacturing Co.,single cylinder four stroke air-cooled  125cc,9.2,6.8/8000,,cycle 4-speed,standard,-,1915x720x1020,760,115,3.8,80,-,,-,,
永源 枭风1号YY350-9A,18993,Yongyuan,", sports car,",,,dual cylinder four stroke water-cooled  350cc,23.79,17.5/8500,,-,None,-,2000x760x1150,760,155,16,150,3.58,,-,,
永源 战豹 YY250,16605,Yongyuan,", street car,",,,", 320cc",26.1,19.2/8500,,-,None,-,2080x790x1100,850,165,18,130,-,,-,,
永源 科迈多YY350-10A,18056,Yongyuan,", street car,",,,dual cylinder water-cooled  249cc,19.71,14.5/,,-,None,-,2160,,,13,130,-,,-,,
