Model Name,Reference Price (Yuan),Brand,Model,Production Method,Origin,Engine,Max Horsepower (Ps),Max Power/Speed (kW/rpm),Max Torque/Speed (N·m/rpm),Transmission,ABS,CBS,Dimensions (LxWxH mm),Seat Height (mm),Curb Weight (kg),Fuel Tank Capacity (L),Max Speed (km/h),Official Average Fuel Consumption (L/100km),Measured Average Fuel Consumption (L/100km),Range (km),Warranty,Available Colors
金城 战枭JC125-28,8800,Jincheng,street car,domestic production,,single cylinder four stroke air-cooled  125cc,10.1,7.4/7500,,-,-,-,2030x750x1090,,115,15,90,-,,-,,
金城 警用车JC250-6,14375,Jincheng,street car,domestic production,,Sichongch air-cooled  250cc,17.7,13/8000,,-,-,-,2135x855x1175,730,,15,,-,,-,,
金城 JC250-7,14800,Jincheng,street car,domestic production,,single cylinder four stroke water-cooled  250cc,25.2,18.5/9000,,-,None,-,2185x775x1220,800,181,20,105,2.9,,-,,
金城 域火JC250-6A,,Jincheng,Cruising Crown Prince,Domestic,,inline twin cylinder four stroke air-cooled  250cc,18.4,13.5/8500,,-,None,-,2150x855x1175,760,,14.5,105,2.6,,-,,
金城 K-Cross 200,17800,Jincheng,tension,domestically produced,,single cylinder four stroke water-cooled  200cc,19.2,14.1/8250,,-,standard,-,2040x785x1220,770,142,12.5,130,-,,-,,
金城 灿星JC110-19V,4820,Jincheng,bending beam,domestic,,single cylinder four stroke air-cooled  110cc,6.7,4.9/7000,,-,-,-,2020x680x1095,,,4,80,1,,-,,
金城 新天星SJ110,5800,Jincheng,bending beam,domestic,,single cylinder four stroke air-cooled  110cc,7.8,5.74/7500,,gear,not,-,1905,780,90,6,88,2,,-,,
金城 天逸SJ125-2,6780,Jincheng,bending beam,domestic,,single cylinder four stroke air-cooled  125cc,8.2,6/7000,,-,None,-,1875x650x1075,,100,3.4,86,-,,-,,Red and Black
金城 提拉米苏 200 警用版,Currently no quotation available,Jincheng,pedal,domestic,,single cylinder four stroke water-cooled  200cc,19.0,14/,,CVT continuously variable transmission,standard,-,2025x710x1170,810,160,8,130,2.6,,-,,
金城 森林之王 特警版,Currently no quotation available,Jincheng,pedal,domestic,,,,,,,standard,xx(mm),,,,,100,,,179,,
金城 草蜢 200 警用版,Currently no quotation available,Jincheng,pedal,domestic,,single cylinder four stroke water-cooled  189cc,19.2,14.1/8250,,continuously variable transmission,none,-,1990x745x1135,800,130,7.8,,-,,-,,
波速尔 精灵60,3980,Bosuer,MINI,Domestic,Zhejiang Bosuer Sports Equipment Co.,single cylinder four stroke air-cooled  60cc,2.4,1.8/7500,,CVT continuously variable transmission automatic transmission,-,-,1200x360x630,570,,3,,-,,-,,
波速尔 PH02E,5380,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co.,single cylinder four stroke air-cooled  125cc,8.8,6.5/7000,,reciprocating 4-speed,-,-,1630x730x1000,670,,3,,-,,-,of,
波速尔 猎豹,7580,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co.,single cylinder four stroke air-cooled  250cc,16.3,12/7000,,international 5-speed,-,-,1930x790x1010,880,,6.5,,-,,-,of,
波速尔 M5,7880,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co.,single cylinder four stroke air-cooled  223cc,16.3,12/7500,,international 5-speed,-,-,2120x820x1120,930,,6.5,,-,,-,of,"black, red"
波速尔 J3D,8480,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co.,single cylinder four stroke air-cooled  250cc,20.4,15/7500,,international 5-speed,-,-,1930x790x1040,930,,6.5,,-,,-,of,
波速尔 M1,8580,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co.,single cylinder four stroke air-cooled  250cc,20.4,15/7500,,international 5-speed,-,-,2120x820x1240,930,,6.5,,-,,-,of,
波速尔 M11,10800,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co.,single cylinder four stroke air-cooled  250cc,25.8,19/9000,,international 6-speed,-,-,2120x820x1240,930,,6.5,,-,,-,,
波速尔 J11,11980,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co.,single cylinder four stroke air-cooled  300cc,25.8,19/9000,,international 6-speed,-,-,2120x820x1220,930,,6.5,,-,,-,of,
波速尔 M10,12980,Bosuer,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co.,single cylinder four stroke air-cooled  250cc,25.8,19/9000,,international 6-speed,-,-,2120x820x1240,930,,6.5,,-,,-,,
波速尔 M6,15800,Bosuer,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co.,single cylinder four stroke water-cooled  300cc,26.9,19.8/8500,,international 6-speed,-,-,2140x820x1270,930,,6.5,,-,,-,of,
波速尔 J5R,19800,Bosuer,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co.,single cylinder four stroke water-cooled  300cc,35.1,25.8/9000,,international 6-speed,-,-,2170x820x1270,940,,6.5,,-,,-,of,
波速尔 M4 竞技版,20800,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co.,single cylinder four stroke water-cooled  250cc,25.8,19/9000,,international 6-speed,-,-,2170x820x1270,940,,6.5,,-,,-,of,
波速尔 M9,20800,Bosur,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co.,single cylinder four stroke water-cooled  450cc,43.5,32/9000,,international 6-speed,-,-,2170x820x1270,940,,6.5,,-,,-,of,
波速尔 猛禽,22800,Bosuer,Off road,Domestic,Zhejiang Bosuer Sports Equipment Co.,single cylinder four stroke water-cooled  300cc,35.1,25.8/9500,,international 6-speed,-,-,2170x820x1270,940,,6.5,,-,,-,,
波速尔 XT-1,6280,Bosur,,,Zhejiang Bosuer Sports Equipment Co.,single cylinder four stroke  125cc,8.8,6.5/7000,,-,-,-,1250x750x960,660,,3,,-,,-,of,
五羊 山鹰,13800,Wuyang,sports car,domestic production,Guangzhou Wuyang Motorcycle Co.,inline dual cylinder four stroke water-cooled  250cc,25.2,18.5/8500,,international 6-speed,standard,xx(mm),2060x710x1140,780,165,17,120,-,,-,,"green, blue, red"
五羊 山猫,13800,Wuyang,sports car,domestic production,Guangzhou Wuyang Motorcycle Co.,inline dual cylinder four stroke water-cooled  250cc,25.2,18.5/8500,,international 6-speed,standard,xx(mm),2060x710x1140,780,165,17,120,-,,-,,"black, green, white"
五羊 啸250,18800,Wuyang,sports car,domestic production,Guangzhou Wuyang Motorcycle Co.,inline dual cylinder four stroke water-cooled  250cc,,,,international 6-speed,standard,xx(mm),206x80x1140,780,173,15,145,-,,-,,"black, white, blue"
五羊 凯旋,5580,Wuyang,bending beam,domestic,Guangzhou Wuyang Motorcycle Co.,single cylinder four stroke air-cooled  110cc,7.1,5.2/7500,,cycle 4th gear,none,xx(mm),1910x690x1130,800,95,3.2,80,1.4,,-,,"rose gold/champagne, black, red, blue"
五羊 喜羊羊,5980,Wuyang,bending beam,domestic,,single cylinder four stroke air-cooled  110cc,7.1,5.2/7500,,cycle 4-speed,-,-,1780x650x1020,700,80,3.2,,1.8,,-,,
五羊 WY125T-8D,6480,Wuyang,pedal,domestic,Guangzhou Wuyang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,6.8,5/7000,,CVT continuously variable transmission automatic transmission,-,-,1800x670x1050,740,95,0,80,2.5,,-,,"Wuyang White/Bright Black, Magic Red/Bright Black, Universe Grey/Bright Black, Matte Blue/Bright Black"
五羊 凯航,6680,Wuyang,pedal,domestic,Guangzhou Wuyang Motorcycle Co.,single cylinder four stroke air-cooled  110cc,9.2,6.8/7500,,CVT continuously variable transmission automatic transmission,-,-,1920x685x1105,740,99,6,80,2.5,,230,,"Starry Sky Grey, Cement Grey, Matte Black, Five Sheep White, Matte Blue"
五羊 凯行,6880,Wuyang,pedal,domestic,,single cylinder four stroke air-cooled  110cc,9.2,6.8/7500,,CVT continuously variable transmission automatic transmission,-,xx(mm),1815x690x1120,760,99,6.4,80,2.5,,230,,"Starry Sky Grey, Cement Grey, Matte Black, Five Sheep White, Matte Blue"
五羊 URV,7280,Wuyang,pedal,domestic,Guangzhou Wuyang Motorcycle Co.,single cylinder four stroke air-cooled  110cc,9.2,6.8/7500,,CVT continuously variable transmission automatic transmission,-,-,1915x695x1120,750,97,6,80,2.5,,-,,
五羊 WY125T-10D,7480,Wuyang,pedal,domestic,Guangzhou Wuyang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,9.2,6.8/7500,,CVT continuously variable transmission automatic transmission,-,-,1830x680x1120,760,103,8,80,2.5,,-,,"Ferrari Red/White, Pearl Black/White, Universe Grey/Black, Avocado Green/Black, Matte Black/Black, Ivory White/Black"
五羊 DILA,7880,Wuyang,pedal,domestic,Guangzhou Wuyang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,6.8,5/7000,,CVT continuously variable transmission automatic transmission,standard,-,1860x735x1210,760,109,0,80,2.5,,-,,white orange
五羊 UVR,7980,Wuyang,pedal,domestic,Guangzhou Wuyang Motorcycle Co.,single cylinder four stroke air-cooled  125cc,9.2,6.8/7500,,CVT continuously variable transmission automatic transmission,-,xx(mm),1915x695x1120,750,97,6,80,2.5,,-,,"Metal Blue/Black, Five Sheep White/Black, Universe Grey/Black, Metal Black/Bright Black, Matte Silver/Black"
五羊 欧歌,13960,Wuyang,pedal,domestic,Guangzhou Wuyang Motorcycle Co.,single cylinder four stroke water-cooled  150cc,12.9,9.5/8250,,CVT continuously variable transmission automatic transmission,standard,-,2000x718x1125,740,139,14,100,-,,-,,"Coke Red, Ice and Snow White, Ivory White, Magic Black, Lamu Blue, Mint Green"
五羊 WY150T-2D,13980,Wuyang,pedal,domestic,Guangzhou Wuyang Motorcycle Co.,single cylinder four stroke water-cooled  150cc,12.9,9.5/8500,,CVT continuously variable transmission automatic transmission,standard,xx(mm),1980x725x1120,765,131,8.2,100,2.5,,300,,"Pearl Blue, Starry Sky Grey, Pearl White, Dark Red, Universe Black"
五羊 星锐,14990,Wuyang,pedal,domestic,Guangzhou Wuyang Motorcycle Co.,single cylinder four stroke water-cooled  150cc,12.9,9.5/8500,,CVT continuously variable transmission automatic transmission,standard,-,2062x760x1260,765,138,9.3,100,2.5,,330,,"Swan Grey, Starry Sky White, Milk White, Azure Cloud Grey, Macaron Green"
五羊 星途升级版,Currently no quotation available,Wuyang,pedal,domestic,Guangzhou Wuyang Motorcycle Co.,single cylinder four stroke water-cooled  150cc,12.9,9.5/8250,,CVT continuously variable transmission automatic transmission,standard,-,1980x725x1120,760,131,0,100,2.5,,-,,"Universe Grey, Interstellar Grey, Five Sheep White, Five Sheep Orchid"
台铃 周末,4699,Taiwan,pedal,domestic,Chinese manufacturer,,,,,,-,-,1740x680x1060,720,93,,51,,,-,,"Polar White/Hepburn Blue, Yin Green/Mousse White, Mousse White/Tango Yellow"
台铃 赤兔,4999,Taiwan,pedal,domestic,Taiwan Bell Technology (Jiangsu) Co.,,,,,,-,-,1710x730x1155,740,103,,51,,,100,,"Romantic Mica, Zero degree Black, Romantic Grey"
台铃 雷豹KS,4999,Taiwan,pedal,domestic,Taiwan Bell Technology (Jiangsu) Co.,,,,,,-,-,1850x730x1100,730,108,,51,,,100,,"Alloy Silver, Polar White, Armor Green, Earl Grey, Zero Black"
台铃 塞北,5999,Taiwan,pedal,domestic,Taiwan Bell Technology (Jiangsu) Co.,,,,,,-,-,1760x725x1130,730,128,,70,,,100,,"Universe Grey, Time Silver, Elegant Brown, Starry White, Ultimate Silver"
台铃 超跑F1,14999,Taiwan,pedal,domestic,Chinese manufacturer,,,,,,-,-,1940x722x1110,,,,51,,,-,,
台铃 非凡宗师,Currently no quotation available,ringtone,pedal,domestic,Chinese manufacturer,,,,,,-,-,1985x730x1220,780,138,,51,,,100,,
台铃 开心,Currently no quotation available,ringtone,pedal,domestic,,,0.5,0.4/,,,-,-,1540x698x1037,,,,,,,100,,
台铃 EVS,17199,Taiwan,street car,domestic production,,,,,,,-,-,2000x802x1085,,128,,51,,,100,,Silver Black
台铃 Lion,Currently no quotation available,ringtone,pedal,domestic,,,,,,,-,-,,,,,,,,-,,
台铃 凯拉,Currently no quotation available,ringtone,pedal,domestic,,,,,,,none,-,,,,,,,,150,,
台铃 星耀-G,Currently no quotation available,ringtone,pedal,domestic,,,,,,,-,-,,,,,,,,-,,
台铃 可酷,Currently no quotation available,ringtone,pedal,domestic,,,,,,,none,-,,750,,,,,,-,,
台铃 Y3,Currently no quotation available,ringtone,pedal,domestic,,,,,,,-,-,,,,,,,,-,,
台铃 N8,Currently no quotation available,ringtone,pedal,domestic,,,,,,,none,xx(mm),1740x710x1050,,,,,,,-,,
台铃 豹子,Currently no quotation available,ringtone,pedal,domestic,,,,,,,none,xx(mm),1830x725x1080,,,,,,,-,,
台铃 S2,Currently no quotation available,ringtone,pedal,domestic,Chinese manufacturer,,,,,,-,-,1860x765x1150,,141,,51,,,-,,
新世纪 火牙200,9800,New,sports car,domestic production,,single cylinder four stroke air-cooled  200cc,15.0,11/7800,,international 6-speed,-,-,2050x715x1170,760,143,18,110,-,,-,,"Black/Red, White/Blue, Red"
新世纪 火牙400,18800,New,sports car,domestic production,Jiangsu New Century Locomotive Technology Co.,inline dual cylinder four stroke water-cooled  400cc,31.3,23/8500,,international 6-speed,standard,-,2050x715x1170,760,164,18,110,-,,-,,"black red, black, red, white blue"
新世纪 剑影400,19480,New,sports car,domestic production,Jiangsu New Century Locomotive Technology Co.,inline dual cylinder four stroke water-cooled  400cc,31.3,23/8500,,international 6-speed,standard,-,2060x780x1140,760,170,19,110,-,,-,,"Sword Shadow Matte Black Red, Sword Shadow Matte Black Gold, Sword Shadow Black Green, Sword Shadow White Red"
新世纪 刀锋500,26800,New,sports car,domestic production,Jiangsu New Century Locomotive Technology Co.,inline dual cylinder four stroke water-cooled  500cc,36.7,27/8500,,international 6-speed,standard,-,2080x740x1140,810,183,14,150,-,,-,,"Black/Red, Black/Green, White/Red, Black"
摩迪威 800RR,36980,Modiway,sports car,domestic production,Taizhou Senlong Motorcycle Manufacturing Co.,inline four cylinder four stroke water-cooled  800cc,116.9,86/11500,,international 6-speed,standard,-,2075x715x1123,830,216,17.5,195,5,,-,,
摩迪威 800RS,38980,Modiway,sports car,domestic production,Taizhou Senlong Motorcycle Manufacturing Co.,inline four cylinder four stroke water-cooled  800cc,116.9,86/11500,,international 6-speed,standard,xx(mm),2075x715x1123,830,216,17.5,195,5,,-,,"Red, Black, Blue"
摩迪威 800R,37980,Modiway,street car,domestic production,Taizhou Senlong Motorcycle Manufacturing Co.,inline four cylinder four stroke water-cooled  800cc,116.9,86/11500,,international 6-speed,standard,-,2090x810x1140,830,216,17.5,195,-,,-,,"red, black, white"
摩迪威 英伦玛莎250TCS,15390,Modiway,pedal,domestic,Taizhou Senlong Motorcycle Manufacturing Co.,single cylinder four stroke water-cooled  250cc,25.2,18.5/8200,,CVT continuously variable transmission automatic transmission,standard,-,2000x680x1075,755,140,12,,-,,-,,
摩迪威 英伦玛莎 Divine 250,15390,Modiway,pedal,domestic,Taizhou Senlong Motorcycle Manufacturing Co.,single cylinder four stroke water-cooled  250cc,25.2,18.5/8200,,CVT continuously variable transmission automatic transmission,standard,-,2000x680x1075,755,140,12,,-,,-,,
摩迪威 极狐250,20980,Modiway,pedal,domestic,Taizhou Senlong Motorcycle Manufacturing Co.,single cylinder four stroke water-cooled  250cc,25.2,18.5/8200,,CVT continuously variable transmission automatic transmission,standard,-,2230x760x1345,720,174,13,,-,,-,,"Polar White, Matte Black, Sea God Blue, Graphite Grey, New York Gold"
杰迪 Vision K750,Currently no quotation available,Jedi,sports car,domestic production,Jinan Jiedi Locomotive Technology Co.,inline dual cylinder four stroke water-cooled  750cc,81.6,60/8500,,international 6-speed,standard,-,2090x775x1090,810,206,14,205,4.3,,350,for,rose gold
杰迪 K333,Currently no quotation available,Jedi,sports car,domestic production,,,,,,-,-,-,,,,0,,-,,-,,
杰迪 FR750,43800,Jedi,Retro,Domestic,Jinan Jiedi Locomotive Technology Co.,inline dual cylinder four stroke water-cooled  750cc,81.6,60/8500,,international 6-speed,standard,xx(mm),2077x875x1150,795,213,18,185,4.3,,500,for,"QT Red/QT Grey, Fresh Green/Matte Silver, Snow Lotus White/QT Red, Matte Military Green/Matte Silver"
杰迪 JD300-9,23800,Jedi,,domestic production,Jinan Jiedi Locomotive Technology Co.,single cylinder four stroke water-cooled  300cc,27.9,20.5/8500,,international 6-speed,standard,-,2137x830x1333,778,191,20.2,125,3.4,,600,for,"Orange/Carbon Fiber Grey, Yellow/Carbon Fiber Grey, Exploration Blue/Pearl White"
杰迪 GT320,25800,Jedi,,domestic production,Jinan Jiedi Locomotive Technology Co.,single cylinder four stroke water-cooled+oil cooled  320cc,29.9,22/8500,,international 5-speed,standard,xx(mm),2137x829x1333,780,190,20.2,150,2.8,,450,,"Pearl Black, Transparent Red, Snow Lotus White, Sparkling Blue, Blue White"
杰迪 傑750,49800,Jedi,,domestic production,Jinan Jiedi Locomotive Technology Co.,inline twin cylinder four stroke water-cooled  750cc,68.7,50.5/7500,,international 6-speed,standard,xx(mm),2220x875x1260,775,223,18,208,4.5,,500,for,"Snow Lotus White, Carbon Fiber Grey, New Turquoise"
杰迪 麒麟750,Currently no quotation available,Jedi,,domestic production,,inline dual cylinder four stroke water-cooled  750cc,,,,international 6-speed,-,-,,,,0,,-,,-,,
杰迪 GZ250,15800,Jedi,Cruising Crown Prince,Domestic,,single cylinder four stroke air-cooled  250cc,17.7,13/7500,,international 5-speed,standard,xx(mm),2140x850x1380,690,170,14,105,2.9,,480,,"white, orange, red, black"
杰迪 Custom 250,19800,Jedi,Cruising Crown Prince,Domestic,,single cylinder four stroke oil cooled  250cc,17.7,13/7500,,international 5-speed,standard,-,2210x820x1060,690,170,20,105,2.9,,-,,"Orange, Bright Black, Matte Black"
爱玛 指挥官A700,5799,Emma,pedal,domestic,Jiangsu Aima Automotive Technology Co.,,,,,,-,-,1770x740x1140,,130,,55,,,100,,"Snow White/Dawn Gold, Bright Moon Silver Grey/Dawn Gold, Meteor Grey/Dawn Gold, Mountain Blue/Dawn Gold, Norwegian Blue/Dawn Gold"
爱玛 指挥官Pro,Currently no quotation available,Emma,pedal,domestic,,,0.5,0.4/,,,-,-,,,,,25,,,-,,
爱玛 造梦师,9399,Emma,MINI,Domestic,,,,,,,-,-,1770x750x1040,,117,,60,,,80,,"Electric Sound Blue/Silver, Starry Sky White/Silver, Dreamweaver Collaboration, Starry Sky Grey/Silver"
爱玛 蛋蛋,6999,Emma,pedal,domestic,,,0.5,0.4/,,,-,-,,,,,25,,,70,,"Windsor White/Wizard of Oz Wild Green, Rabbit Powder/Yuan Cai Qin Sweet Powder, Elizabeth/Malt Milk Coffee, Windsor White/Malta Blue"
爱玛 勇士F626,Currently no quotation available,Emma,pedal,domestic,,,,,,,-,-,,,,,,,,-,,
爱玛 开心,6199,Emma,Three Wheel,Domestic,,,0.7,0.5/,,,-,-,1570x740x1040,,,,,,,-,,"Cheese White/Vibrant magenta, Orange Cup Green/Cream Coffee (B.DUCK), Emma Coffee/Cheese White, Lavender Purple/Mocha Grey, Revival Green/Cream Coffee, Sweet Pink/Cream Coffee, Silk Rice/Mocha Grey"
元图 GP250,19980,yuan,sports car,domestic production,Chongqing New Sensation Motorcycle Co.,inline dual cylinder four stroke water-cooled  250cc,32.0,23.5/11000,,international 6-speed,standard,-,2015x745x1150,785,170,14,165,-,,-,,Red Flame Red
元图 GP325,22980,yuan,sports car,domestic production,Chongqing New Sensation Motorcycle Co.,inline dual cylinder four stroke water-cooled  320cc,40.8,30/10500,,international 6-speed,standard,xx(mm),2015x745x1150,795,168,14,170,-,,-,,"Aurora Green, Flame Yellow, Sea Soul Blue"
元图 GP660,,images,sports car,domestic production,,inline four cylinder four stroke water-cooled  660cc,,,,-,-,-,,,,0,,-,,-,,
元图 Bobber,,images,Cruising Crown Prince,Domestic,,-,,,,-,-,-,,,,0,,-,,-,,"fluorescent green, beige"
